baseline_policy,benchmark,effective_l3_misses,final_job_id,l3_miss_ratio_vs_lru,l3_miss_reduction_vs_lru_pct,l3_misses,l3_size,pipeline_run_name,policy_label,policy_short,popt_charged_l3_misses_plus_matrix_stream,popt_overhead_charged,prefetcher,section,sim_ticks,simulator,threads,timing_caveat,timing_model,timing_valid_for_speedup
LRU,bfs,7056587.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0128778078072087,-1.287780780720866,7056587,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7639640.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0965671953929377,-9.656719539293764,7639640,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7630062.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0951924027852398,-9.519240278523968,7630062,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7445306.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0686731729848804,-6.867317298488029,7445306,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,7102864.0,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,1.0195202464693969,-1.9520246469396798,7102864,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,68809831.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0,0.0,68809831,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,68577990.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,0.9966306994708358,0.3369300529164212,68577990,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,69644810.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0121345887334035,-1.2134588733403517,69644810,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,70146125.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0194201029210492,-1.9420102921049172,70146125,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,67045670.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,0.9743617885066452,2.5638211493354777,67045670,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,69509530.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0101685905899116,-1.016859058991149,69509530,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,70269256.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0212095419911726,-2.1209541991172745,70269256,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,68836349.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1.0003853809784826,-0.0385380978482566,68836349,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,sssp,67479098.0,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,0.980660714019193,1.9339285980807017,67479098,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,494067403.0,10_cache_sim_large_replacement_com-orkut_pr,1.0,0.0,494067403,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,489290066.0,10_cache_sim_large_replacement_com-orkut_pr,0.9903305966534287,0.9669403346571318,489290066,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,500448939.0,10_cache_sim_large_replacement_com-orkut_pr,1.0129163267223278,-1.2916326722327804,500448939,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,506258218.0,10_cache_sim_large_replacement_com-orkut_pr,1.0246743965013212,-2.4674396501321096,506258218,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,510657300.0,10_cache_sim_large_replacement_com-orkut_pr,1.0335782059275018,-3.3578205927501754,510657300,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,497517156.0,10_cache_sim_large_replacement_com-orkut_pr,1.0069823529725963,-0.6982352972596332,497517156,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,500293197.0,10_cache_sim_large_replacement_com-orkut_pr,1.012601102526086,-1.26011025260859,500293197,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,492119845.0,10_cache_sim_large_replacement_com-orkut_pr,0.9960581127429692,0.39418872570307983,492119845,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,509519729.0,10_cache_sim_large_replacement_com-orkut_pr,1.0312757447793008,-3.127574477930089,509519729,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_com-orkut_bfs,,,0,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
