graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
soc-LiveJournal1,bfs,8MB,GRASP,0.509865,-5.3326,,no_claim,
soc-LiveJournal1,bfs,8MB,LRU,0.563191,+0.0000,,no_claim,
soc-LiveJournal1,bfs,8MB,POPT,0.519924,-4.3267,,no_claim,
soc-LiveJournal1,bfs,8MB,SRRIP,0.545957,-1.7234,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-LiveJournal1,cc,1MB,GRASP,0.754597,-4.4049,,no_claim,
soc-LiveJournal1,cc,1MB,LRU,0.798646,+0.0000,,no_claim,
soc-LiveJournal1,cc,1MB,POPT,0.703314,-9.5332,,no_claim,
soc-LiveJournal1,cc,1MB,SRRIP,0.774459,-2.4187,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-LiveJournal1,cc,4MB,GRASP,0.486233,-8.9248,,no_claim,
soc-LiveJournal1,cc,4MB,LRU,0.575481,+0.0000,,no_claim,
soc-LiveJournal1,cc,4MB,POPT,0.510698,-6.4783,,no_claim,
soc-LiveJournal1,cc,4MB,SRRIP,0.553523,-2.1958,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-LiveJournal1,cc,8MB,GRASP,0.359253,-10.9342,,no_claim,
soc-LiveJournal1,cc,8MB,LRU,0.468595,+0.0000,,no_claim,
soc-LiveJournal1,cc,8MB,POPT,0.402011,-6.6584,,no_claim,
soc-LiveJournal1,cc,8MB,SRRIP,0.435289,-3.3306,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-LiveJournal1,pr,1MB,GRASP,0.682525,-8.2844,,ok,Faldu et al. HPCA 2020 Fig 10
soc-LiveJournal1,pr,1MB,LRU,0.765369,+0.0000,,no_claim,
soc-LiveJournal1,pr,1MB,POPT,0.664212,-10.1157,,ok,Balaji & Lucia HPCA 2021 Fig 9
soc-LiveJournal1,pr,1MB,SRRIP,0.733963,-3.1406,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-LiveJournal1,pr,4MB,GRASP,0.368881,-9.2753,,no_claim,
soc-LiveJournal1,pr,4MB,LRU,0.461634,+0.0000,,no_claim,
soc-LiveJournal1,pr,4MB,POPT,0.332620,-12.9014,,no_claim,
soc-LiveJournal1,pr,4MB,SRRIP,0.420129,-4.1505,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-LiveJournal1,pr,8MB,GRASP,0.225332,-7.4565,,ok,Faldu et al. HPCA 2020 Fig 10
soc-LiveJournal1,pr,8MB,LRU,0.299897,+0.0000,,no_claim,
soc-LiveJournal1,pr,8MB,POPT,0.204819,-9.5078,,no_claim,
soc-LiveJournal1,pr,8MB,SRRIP,0.259415,-4.0482,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-LiveJournal1,sssp,1MB,GRASP,0.682024,-6.1872,,no_claim,
soc-LiveJournal1,sssp,1MB,LRU,0.743896,+0.0000,,no_claim,
soc-LiveJournal1,sssp,1MB,POPT,0.701015,-4.2881,,ok,Balaji & Lucia HPCA 2021 Fig 10
soc-LiveJournal1,sssp,1MB,SRRIP,0.717670,-2.6226,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
soc-LiveJournal1,sssp,4MB,GRASP,0.318344,-6.5237,,no_claim,
soc-LiveJournal1,sssp,4MB,LRU,0.383581,+0.0000,,no_claim,
soc-LiveJournal1,sssp,4MB,POPT,0.358093,-2.5488,,no_claim,
soc-LiveJournal1,sssp,4MB,SRRIP,0.353797,-2.9784,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
soc-LiveJournal1,sssp,8MB,GRASP,0.139874,-2.9756,,no_claim,
soc-LiveJournal1,sssp,8MB,LRU,0.169630,+0.0000,,no_claim,
soc-LiveJournal1,sssp,8MB,POPT,0.169120,-0.0510,,no_claim,
soc-LiveJournal1,sssp,8MB,SRRIP,0.151842,-1.7788,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
soc-pokec,bc,1MB,GRASP,0.810808,-4.8921,,ok,Faldu et al. HPCA 2020 Fig 11
soc-pokec,bc,1MB,LRU,0.859729,+0.0000,,no_claim,
soc-pokec,bc,1MB,POPT,0.832450,-2.7279,,no_claim,
soc-pokec,bc,1MB,SRRIP,0.844165,-1.5564,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,bc,4MB,GRASP,0.457949,-7.2120,,no_claim,
soc-pokec,bc,4MB,LRU,0.530069,+0.0000,,no_claim,
soc-pokec,bc,4MB,POPT,0.504725,-2.5344,,no_claim,
soc-pokec,bc,4MB,SRRIP,0.496445,-3.3624,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,bc,8MB,GRASP,0.222744,-4.4997,,no_claim,
soc-pokec,bc,8MB,LRU,0.267741,+0.0000,,no_claim,
soc-pokec,bc,8MB,POPT,0.264832,-0.2909,,no_claim,
soc-pokec,bc,8MB,SRRIP,0.241220,-2.6521,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,bfs,1MB,GRASP,0.859369,-4.6924,,no_claim,
soc-pokec,bfs,1MB,LRU,0.906293,+0.0000,,no_claim,
soc-pokec,bfs,1MB,POPT,0.887007,-1.9286,,no_claim,
soc-pokec,bfs,1MB,SRRIP,0.892223,-1.4070,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,bfs,4MB,GRASP,0.755891,-3.1386,,no_claim,
soc-pokec,bfs,4MB,LRU,0.787277,+0.0000,,no_claim,
soc-pokec,bfs,4MB,POPT,0.725987,-6.1290,,no_claim,
soc-pokec,bfs,4MB,SRRIP,0.781166,-0.6111,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,bfs,8MB,GRASP,0.743854,-1.5784,,no_claim,
soc-pokec,bfs,8MB,LRU,0.759638,+0.0000,,no_claim,
soc-pokec,bfs,8MB,POPT,0.625986,-13.3652,,no_claim,
soc-pokec,bfs,8MB,SRRIP,0.753612,-0.6026,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
soc-pokec,cc,1MB,GRASP,0.650924,-7.7183,,no_claim,
soc-pokec,cc,1MB,LRU,0.728107,+0.0000,,no_claim,
soc-pokec,cc,1MB,POPT,0.663401,-6.4706,,no_claim,
soc-pokec,cc,1MB,SRRIP,0.701253,-2.6854,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-pokec,cc,4MB,GRASP,0.410044,-5.3775,,no_claim,
soc-pokec,cc,4MB,LRU,0.463819,+0.0000,,no_claim,
soc-pokec,cc,4MB,POPT,0.366890,-9.6929,,no_claim,
soc-pokec,cc,4MB,SRRIP,0.379204,-8.4615,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-pokec,cc,8MB,GRASP,0.373079,+31.0153,,no_claim,
soc-pokec,cc,8MB,LRU,0.062926,+0.0000,,no_claim,
soc-pokec,cc,8MB,POPT,0.062926,+0.0000,,no_claim,
soc-pokec,cc,8MB,SRRIP,0.062926,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
soc-pokec,pr,1MB,GRASP,0.555685,-14.0466,,ok,Faldu et al. HPCA 2020 Fig 10
soc-pokec,pr,1MB,LRU,0.696151,+0.0000,,no_claim,
soc-pokec,pr,1MB,POPT,0.576095,-12.0056,,ok,Balaji & Lucia HPCA 2021 Fig 9
soc-pokec,pr,1MB,SRRIP,0.651728,-4.4423,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-pokec,pr,4MB,GRASP,0.143667,-6.5720,,no_claim,
soc-pokec,pr,4MB,LRU,0.209387,+0.0000,,no_claim,
soc-pokec,pr,4MB,POPT,0.142532,-6.6855,,no_claim,
soc-pokec,pr,4MB,SRRIP,0.170262,-3.9125,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-pokec,pr,8MB,GRASP,0.091342,-1.5950,,ok,Faldu et al. HPCA 2020 Fig 10
soc-pokec,pr,8MB,LRU,0.107292,+0.0000,,no_claim,
soc-pokec,pr,8MB,POPT,0.097051,-1.0241,,no_claim,
soc-pokec,pr,8MB,SRRIP,0.094371,-1.2921,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
soc-pokec,sssp,1MB,GRASP,0.558075,-11.3869,,no_claim,
soc-pokec,sssp,1MB,LRU,0.671944,+0.0000,,no_claim,
soc-pokec,sssp,1MB,POPT,0.629424,-4.2520,,ok,Balaji & Lucia HPCA 2021 Fig 10
soc-pokec,sssp,1MB,SRRIP,0.636608,-3.5336,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
soc-pokec,sssp,4MB,GRASP,0.076550,-2.3192,,no_claim,
soc-pokec,sssp,4MB,LRU,0.099742,+0.0000,,no_claim,
soc-pokec,sssp,4MB,POPT,0.116955,+1.7213,,no_claim,
soc-pokec,sssp,4MB,SRRIP,0.086994,-1.2748,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
soc-pokec,sssp,8MB,GRASP,0.007613,+0.4325,,no_claim,
soc-pokec,sssp,8MB,LRU,0.003288,+0.0000,,no_claim,
soc-pokec,sssp,8MB,POPT,0.003288,+0.0000,,no_claim,
soc-pokec,sssp,8MB,SRRIP,0.003288,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
web-Google,bc,1MB,GRASP,0.823764,+2.1070,,ok,Faldu et al. HPCA 2020 Fig 11
web-Google,bc,1MB,LRU,0.802694,+0.0000,,no_claim,
web-Google,bc,1MB,POPT,0.837811,+3.5117,,no_claim,
web-Google,bc,1MB,SRRIP,0.806937,+0.4243,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,bc,4MB,GRASP,0.518605,+0.2432,,no_claim,
web-Google,bc,4MB,LRU,0.516173,+0.0000,,no_claim,
web-Google,bc,4MB,POPT,0.583008,+6.6835,,no_claim,
web-Google,bc,4MB,SRRIP,0.498883,-1.7290,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,bc,8MB,GRASP,0.263469,+4.2458,,no_claim,
web-Google,bc,8MB,LRU,0.221011,+0.0000,,no_claim,
web-Google,bc,8MB,POPT,0.342378,+12.1367,,no_claim,
web-Google,bc,8MB,SRRIP,0.211406,-0.9605,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,bfs,1MB,GRASP,0.944392,-3.6010,,ok,Faldu et al. HPCA 2020 Fig 11
web-Google,bfs,1MB,LRU,0.980402,+0.0000,,no_claim,
web-Google,bfs,1MB,POPT,0.961868,-1.8534,,no_claim,
web-Google,bfs,1MB,SRRIP,0.979611,-0.0791,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,bfs,4MB,GRASP,0.919123,-2.9455,,no_claim,
web-Google,bfs,4MB,LRU,0.948578,+0.0000,,no_claim,
web-Google,bfs,4MB,POPT,0.798940,-14.9638,,no_claim,
web-Google,bfs,4MB,SRRIP,0.947337,-0.1241,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,bfs,8MB,GRASP,0.912540,+9.3177,,no_claim,
web-Google,bfs,8MB,LRU,0.819363,+0.0000,,no_claim,
web-Google,bfs,8MB,POPT,0.744945,-7.4418,,no_claim,
web-Google,bfs,8MB,SRRIP,0.813627,-0.5736,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
web-Google,cc,1MB,GRASP,0.540963,-4.4963,,no_claim,
web-Google,cc,1MB,LRU,0.585926,+0.0000,,no_claim,
web-Google,cc,1MB,POPT,0.531391,-5.4535,,no_claim,
web-Google,cc,1MB,SRRIP,0.556854,-2.9072,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
web-Google,cc,4MB,GRASP,0.258265,+20.6346,,no_claim,
web-Google,cc,4MB,LRU,0.051919,+0.0000,,no_claim,
web-Google,cc,4MB,POPT,0.051919,+0.0000,,no_claim,
web-Google,cc,4MB,SRRIP,0.051919,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
web-Google,cc,8MB,GRASP,0.167094,+11.5175,,no_claim,
web-Google,cc,8MB,LRU,0.051919,+0.0000,,no_claim,
web-Google,cc,8MB,POPT,0.051919,+0.0000,,no_claim,
web-Google,cc,8MB,SRRIP,0.051919,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
web-Google,pr,1MB,GRASP,0.450908,-14.7453,,ok,Faldu et al. HPCA 2020 Fig 10
web-Google,pr,1MB,LRU,0.598361,+0.0000,,no_claim,
web-Google,pr,1MB,POPT,0.429859,-16.8502,,ok,Balaji & Lucia HPCA 2021 Fig 9
web-Google,pr,1MB,SRRIP,0.540871,-5.7490,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
web-Google,pr,4MB,GRASP,0.129092,-1.3019,,no_claim,
web-Google,pr,4MB,LRU,0.142111,+0.0000,,no_claim,
web-Google,pr,4MB,POPT,0.125794,-1.6317,,no_claim,
web-Google,pr,4MB,SRRIP,0.119179,-2.2932,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
web-Google,pr,8MB,GRASP,0.106849,+0.9692,,ok,Faldu et al. HPCA 2020 Fig 10
web-Google,pr,8MB,LRU,0.097157,+0.0000,,no_claim,
web-Google,pr,8MB,POPT,0.087661,-0.9496,,no_claim,
web-Google,pr,8MB,SRRIP,0.093367,-0.3790,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
web-Google,sssp,1MB,GRASP,0.640313,-2.3466,,no_claim,
web-Google,sssp,1MB,LRU,0.663779,+0.0000,,no_claim,
web-Google,sssp,1MB,POPT,0.686587,+2.2808,,no_claim,
web-Google,sssp,1MB,SRRIP,0.656180,-0.7599,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
web-Google,sssp,4MB,GRASP,0.081619,+5.8141,,no_claim,
web-Google,sssp,4MB,LRU,0.023478,+0.0000,,no_claim,
web-Google,sssp,4MB,POPT,0.023478,+0.0000,,no_claim,
web-Google,sssp,4MB,SRRIP,0.023478,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
web-Google,sssp,8MB,GRASP,0.047541,+2.4063,,no_claim,
web-Google,sssp,8MB,LRU,0.023478,+0.0000,,no_claim,
web-Google,sssp,8MB,POPT,0.023478,+0.0000,,no_claim,
web-Google,sssp,8MB,SRRIP,0.023478,+0.0000,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
