graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
roadNet-CA,cc,256kB,GRASP,0.994503,-0.5262,,no_claim,
roadNet-CA,cc,256kB,LRU,0.999765,+0.0000,,no_claim,
roadNet-CA,cc,256kB,POPT,0.985964,-1.3801,,no_claim,
roadNet-CA,cc,256kB,SRRIP,0.999754,-0.0011,,no_claim,
roadNet-CA,cc,4kB,GRASP,0.999963,-0.0037,,no_claim,
roadNet-CA,cc,4kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,cc,4kB,POPT,0.999957,-0.0043,,no_claim,
roadNet-CA,cc,4kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,cc,64kB,GRASP,0.997974,-0.2023,,no_claim,
roadNet-CA,cc,64kB,LRU,0.999997,+0.0000,,no_claim,
roadNet-CA,cc,64kB,POPT,0.998826,-0.1171,,no_claim,
roadNet-CA,cc,64kB,SRRIP,0.999997,+0.0000,,no_claim,
roadNet-CA,pr,16kB,GRASP,0.999512,-0.0488,,no_claim,
roadNet-CA,pr,16kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,pr,16kB,POPT,0.999987,-0.0013,,no_claim,
roadNet-CA,pr,16kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,pr,1MB,GRASP,0.978026,+2.5524,,no_claim,
roadNet-CA,pr,1MB,LRU,0.952502,+0.0000,,no_claim,
roadNet-CA,pr,1MB,POPT,0.913578,-3.8924,,no_claim,
roadNet-CA,pr,1MB,SRRIP,0.953039,+0.0537,,no_claim,
roadNet-CA,pr,256kB,GRASP,0.988995,-0.6290,,no_claim,
roadNet-CA,pr,256kB,LRU,0.995285,+0.0000,,no_claim,
roadNet-CA,pr,256kB,POPT,0.946870,-4.8415,,no_claim,
roadNet-CA,pr,256kB,SRRIP,0.995039,-0.0246,,no_claim,
roadNet-CA,pr,4kB,GRASP,0.999644,-0.0356,,no_claim,
roadNet-CA,pr,4kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,pr,4kB,POPT,1.000000,+0.0000,,no_claim,
roadNet-CA,pr,4kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,pr,64kB,GRASP,0.999210,-0.0789,,no_claim,
roadNet-CA,pr,64kB,LRU,0.999999,+0.0000,,no_claim,
roadNet-CA,pr,64kB,POPT,0.991727,-0.8272,,no_claim,
roadNet-CA,pr,64kB,SRRIP,0.999999,+0.0000,,no_claim,
roadNet-CA,sssp,16kB,GRASP,0.986344,-1.3395,,no_claim,
roadNet-CA,sssp,16kB,LRU,0.999739,+0.0000,,no_claim,
roadNet-CA,sssp,16kB,POPT,0.997557,-0.2182,,no_claim,
roadNet-CA,sssp,16kB,SRRIP,0.999600,-0.0139,,no_claim,
roadNet-CA,sssp,1MB,GRASP,0.724823,+55.8274,,no_claim,
roadNet-CA,sssp,1MB,LRU,0.166549,+0.0000,,no_claim,
roadNet-CA,sssp,1MB,POPT,0.271238,+10.4689,,no_claim,
roadNet-CA,sssp,1MB,SRRIP,0.177961,+1.1412,,no_claim,
roadNet-CA,sssp,256kB,GRASP,0.800503,+23.4831,,no_claim,
roadNet-CA,sssp,256kB,LRU,0.565672,+0.0000,,no_claim,
roadNet-CA,sssp,256kB,POPT,0.658647,+9.2975,,no_claim,
roadNet-CA,sssp,256kB,SRRIP,0.550468,-1.5204,,no_claim,
roadNet-CA,sssp,4kB,GRASP,0.999397,-0.0603,,no_claim,
roadNet-CA,sssp,4kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,sssp,4kB,POPT,0.999968,-0.0032,,no_claim,
roadNet-CA,sssp,4kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,sssp,64kB,GRASP,0.869996,-10.3077,,no_claim,
roadNet-CA,sssp,64kB,LRU,0.973073,+0.0000,,no_claim,
roadNet-CA,sssp,64kB,POPT,0.949577,-2.3496,,no_claim,
roadNet-CA,sssp,64kB,SRRIP,0.967002,-0.6071,,no_claim,
soc-LiveJournal1,bc,1MB,GRASP,0.831167,-3.3688,,ok,Faldu et al. HPCA 2020 Fig 11
