citation,graph,app,l3_size,policy,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,delta_pct,status
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.3953,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended),com-orkut,bfs,8MB,SRRIP,~,,5.0,3.0,0.027,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,bfs,8MB,POPT_GE_GRASP,-,,,1.5,-0.7285,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.7285,ok
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),com-orkut,cc,1MB,SRRIP,~,,10.0,3.0,-3.7914,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,cc,1MB,POPT_GE_GRASP,-,,,1.5,11.0164,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,11.0164,known_deviation
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),com-orkut,cc,4MB,SRRIP,~,,10.0,3.0,-1.4488,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,cc,4MB,POPT_GE_GRASP,-,,,1.5,10.0547,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,10.0547,known_deviation
Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC),com-orkut,cc,8MB,SRRIP,~,,10.0,3.0,-10.943,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),com-orkut,cc,8MB,POPT_GE_GRASP,-,,,1.5,6.1871,known_deviation
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,6.1871,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,com-orkut,pr,1MB,SRRIP,~,,5.0,2.0,-4.2248,ok
Faldu et al. HPCA 2020 §6.1 (extrapolated to com-orkut from twitter Fig 10),com-orkut,pr,1MB,GRASP,-,1.0,25.0,3.0,-1.9774,ok
Balaji & Lucia HPCA 2021 §6 (extrapolated to com-orkut from twitter),com-orkut,pr,1MB,POPT,-,1.0,30.0,3.0,-9.379,ok
Balaji & Lucia HPCA 2021 §6.3,com-orkut,pr,1MB,POPT_GE_GRASP,-,,,1.0,-7.4016,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,com-orkut,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,7.4016,ok
Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1,com-orkut,pr,4MB,SRRIP,~,,5.0,2.0,-3.6809,ok
Balaji & Lucia HPCA 2021 §6.3,com-orkut,pr,4MB,POPT_GE_GRASP,-,,,1.0,-5.2914,ok
