graph,app,l3_size,policy,status,delta_pct,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,margin_pp,claim_kind,citation
com-orkut,cc,1MB,SRRIP,ok,-3.7914,~,,10.0,3.0,9.21,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,cc,1MB,POPT_GE_GRASP,known_deviation,11.0164,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,known_deviation,11.0164,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,cc,4MB,SRRIP,ok,-1.4488,~,,10.0,3.0,11.555,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,cc,4MB,POPT_GE_GRASP,known_deviation,10.0547,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,known_deviation,10.0547,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,cc,8MB,SRRIP,ok,-10.943,~,,10.0,3.0,2.06,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,cc,8MB,POPT_GE_GRASP,known_deviation,6.1871,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,6.1871,~,,5.0,2.0,0.8129,popt_near_grasp_active,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,pr,1MB,SRRIP,ok,-4.2248,~,,5.0,2.0,2.78,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,pr,1MB,GRASP,ok,-1.9774,-,1.0,25.0,3.0,3.98,cache_policy,Faldu et al. HPCA 2020 §6.1 (extrapolated to com-orkut from twitter Fig 10)
com-orkut,pr,1MB,POPT,ok,-9.379,-,1.0,30.0,3.0,11.38,cache_policy,Balaji & Lucia HPCA 2021 §6 (extrapolated to com-orkut from twitter)
com-orkut,pr,1MB,POPT_GE_GRASP,ok,-7.4016,-,,,1.0,8.4016,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
com-orkut,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,7.4016,~,,5.0,2.0,14.4016,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
com-orkut,pr,4MB,SRRIP,ok,-3.6809,~,,5.0,2.0,3.32,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,pr,4MB,POPT_GE_GRASP,ok,-5.2914,-,,,1.0,6.2914,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
com-orkut,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,5.2914,~,,5.0,2.0,12.2914,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
