graph,app,l3_size,family,regime,policy,miss_rate,oracle,gap_pp,is_winner,n_policies_in_cell
roadNet-CA,bc,64kB,road,tiny,GRASP,0.994350,0.994092,0.026,0,4
roadNet-CA,bc,64kB,road,tiny,LRU,0.999835,0.994092,0.574,0,4
roadNet-CA,bc,64kB,road,tiny,POPT,0.994092,0.994092,0.000,1,4
roadNet-CA,bc,64kB,road,tiny,SRRIP,0.999787,0.994092,0.570,0,4
roadNet-CA,bc,256kB,road,small,GRASP,0.915301,0.915301,0.000,1,4
roadNet-CA,bc,256kB,road,small,LRU,0.989179,0.915301,7.388,0,4
roadNet-CA,bc,256kB,road,small,POPT,0.948549,0.915301,3.325,0,4
roadNet-CA,bc,256kB,road,small,SRRIP,0.987384,0.915301,7.208,0,4
roadNet-CA,bc,1MB,road,large,GRASP,0.810849,0.648506,16.234,0,4
roadNet-CA,bc,1MB,road,large,LRU,0.648506,0.648506,0.000,1,4
roadNet-CA,bc,1MB,road,large,POPT,0.812494,0.648506,16.399,0,4
roadNet-CA,bc,1MB,road,large,SRRIP,0.654958,0.648506,0.645,0,4
roadNet-CA,bfs,4kB,road,tiny,GRASP,0.999762,0.999762,0.000,1,4
roadNet-CA,bfs,4kB,road,tiny,LRU,1.000000,0.999762,0.024,0,4
roadNet-CA,bfs,4kB,road,tiny,POPT,1.000000,0.999762,0.024,0,4
roadNet-CA,bfs,4kB,road,tiny,SRRIP,1.000000,0.999762,0.024,0,4
roadNet-CA,bfs,16kB,road,tiny,GRASP,0.995827,0.995827,0.000,1,4
roadNet-CA,bfs,16kB,road,tiny,LRU,1.000000,0.995827,0.417,0,4
roadNet-CA,bfs,16kB,road,tiny,POPT,0.999872,0.995827,0.404,0,4
roadNet-CA,bfs,16kB,road,tiny,SRRIP,1.000000,0.995827,0.417,0,4
roadNet-CA,bfs,64kB,road,tiny,GRASP,0.941734,0.941734,0.000,1,4
roadNet-CA,bfs,64kB,road,tiny,LRU,0.999563,0.941734,5.783,0,4
roadNet-CA,bfs,64kB,road,tiny,POPT,0.993871,0.941734,5.214,0,4
roadNet-CA,bfs,64kB,road,tiny,SRRIP,0.999460,0.941734,5.773,0,4
roadNet-CA,bfs,256kB,road,small,GRASP,0.876772,0.815930,6.084,0,4
roadNet-CA,bfs,256kB,road,small,LRU,0.939940,0.815930,12.401,0,4
roadNet-CA,bfs,256kB,road,small,POPT,0.815930,0.815930,0.000,1,4
roadNet-CA,bfs,256kB,road,small,SRRIP,0.931919,0.815930,11.599,0,4
roadNet-CA,bfs,1MB,road,large,GRASP,0.866917,0.241059,62.586,0,4
roadNet-CA,bfs,1MB,road,large,LRU,0.241059,0.241059,0.000,1,4
roadNet-CA,bfs,1MB,road,large,POPT,0.583970,0.241059,34.291,0,4
roadNet-CA,bfs,1MB,road,large,SRRIP,0.284867,0.241059,4.381,0,4
roadNet-CA,cc,4kB,road,tiny,GRASP,0.999194,0.999194,0.000,1,4
roadNet-CA,cc,4kB,road,tiny,LRU,1.000000,0.999194,0.081,0,4
roadNet-CA,cc,4kB,road,tiny,POPT,0.999958,0.999194,0.076,0,4
roadNet-CA,cc,4kB,road,tiny,SRRIP,1.000000,0.999194,0.081,0,4
roadNet-CA,cc,16kB,road,tiny,GRASP,0.996576,0.996576,0.000,1,4
roadNet-CA,cc,16kB,road,tiny,LRU,1.000000,0.996576,0.342,0,4
roadNet-CA,cc,16kB,road,tiny,POPT,0.999820,0.996576,0.324,0,4
roadNet-CA,cc,16kB,road,tiny,SRRIP,1.000000,0.996576,0.342,0,4
roadNet-CA,cc,64kB,road,tiny,GRASP,0.987479,0.987479,0.000,1,4
roadNet-CA,cc,64kB,road,tiny,LRU,0.999997,0.987479,1.252,0,4
roadNet-CA,cc,64kB,road,tiny,POPT,0.998477,0.987479,1.100,0,4
roadNet-CA,cc,64kB,road,tiny,SRRIP,0.999997,0.987479,1.252,0,4
roadNet-CA,cc,256kB,road,small,GRASP,0.962523,0.962523,0.000,1,4
